City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Severo-Kurilsk,RU,2021-04-15 19:08:46,50.6789,156.125,27.91,69,45,17.72
93,Deputatskiy,RU,2021-04-15 19:11:44,69.3,139.9,-18.33,97,90,4.34
94,Arlit,NE,2021-04-15 19:11:01,18.7369,7.3853,89.4,6,2,2.84
95,Sampit,ID,2021-04-15 19:11:44,-2.5333,112.95,72.64,98,91,1.16
96,Marshall,US,2021-04-15 19:11:45,34.3834,-86.3333,68.0,45,1,12.66
97,Thompson,CA,2021-04-15 19:11:45,55.7435,-97.8558,42.8,24,75,3.44
98,Jalu,LY,2021-04-15 19:11:45,29.0331,21.5482,78.55,17,100,10.8
99,Mount Isa,AU,2021-04-15 19:10:06,-20.7333,139.5,75.2,17,0,10.36
100,Muhos,FI,2021-04-15 19:11:46,64.808,25.9931,37.4,60,0,5.75
101,Kavieng,PG,2021-04-15 19:09:31,-2.5744,150.7967,79.74,82,100,7.45
102,Bengkulu,ID,2021-04-15 19:09:38,-3.8004,102.2655,74.28,89,100,4.83
103,Honningsvag,NO,2021-04-15 19:11:46,70.9821,25.9704,37.4,87,90,18.41
104,El Cano,PA,2021-04-15 19:11:47,8.4,-80.5167,87.8,70,40,9.22
105,Hithadhoo,MV,2021-04-15 19:11:47,-0.6,73.0833,82.67,68,19,4.61
106,Moree,AU,2021-04-15 19:11:47,-29.4667,149.85,59.0,67,75,6.91
107,Bluff,NZ,2021-04-15 19:11:48,-46.6,168.3333,50.0,95,57,3.0
108,Nome,US,2021-04-15 19:08:44,64.5011,-165.4064,21.99,93,1,4.61
109,Anadyr,RU,2021-04-15 19:11:48,64.75,177.4833,17.6,73,100,8.95
110,Airai,TL,2021-04-15 19:08:58,-8.9266,125.4092,56.21,80,86,1.83
111,Coihaique,CL,2021-04-15 19:11:49,-45.5752,-72.0662,55.4,58,75,3.44
112,Port-Gentil,GA,2021-04-15 19:11:49,-0.7193,8.7815,84.2,79,20,6.91
113,Palana,RU,2021-04-15 19:11:49,59.1167,159.9667,25.02,97,100,5.06
114,Bredasdorp,ZA,2021-04-15 19:11:50,-34.5322,20.0403,64.4,72,15,10.36
115,Taoudenni,ML,2021-04-15 19:11:50,22.6783,-3.9836,91.0,9,0,10.18
116,Ascension,US,2021-04-15 19:11:50,30.2169,-90.9001,71.6,73,90,9.22
117,Castro,BR,2021-04-15 19:11:51,-24.7911,-50.0119,70.47,60,67,6.42
118,Ipora,BR,2021-04-15 19:11:51,-16.4419,-51.1178,85.44,42,40,2.64
119,Quatre Cocos,MU,2021-04-15 19:11:51,-20.2078,57.7625,78.01,88,75,5.75
120,Yellapur,IN,2021-04-15 19:11:52,14.9667,74.7167,73.17,89,17,2.44
