City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Prince Rupert,CA,54.3161,-130.3201,55.4,62,1,2.3,clear sky
111,Hermanus,ZA,-34.4187,19.2345,66.0,78,14,1.99,few clouds
112,Laguna,US,38.421,-121.4238,81.0,17,1,4.61,clear sky
113,Phalaborwa,ZA,-23.943,31.1411,68.0,52,0,3.44,clear sky
114,Fortuna,US,40.5982,-124.1573,64.0,82,1,13.8,clear sky
115,Port Angeles,US,48.1181,-123.4307,66.0,67,1,3.69,clear sky
116,Chuy,UY,-33.6971,-53.4616,71.65,63,0,9.64,clear sky
117,Ilulissat,GL,69.2167,-51.1,14.0,41,71,2.3,broken clouds
118,Cape Town,ZA,-33.9258,18.4232,69.01,82,0,11.5,clear sky
119,Port Blair,IN,11.6667,92.75,81.18,76,58,7.72,broken clouds
120,Hilo,US,19.7297,-155.09,73.99,68,1,3.44,clear sky
121,Souillac,MU,-20.5167,57.5167,75.2,100,75,11.5,light rain
122,Kavieng,PG,-2.5744,150.7967,81.46,75,99,3.85,overcast clouds
123,Hanmer Springs,NZ,-42.5167,172.8167,45.54,87,3,7.18,clear sky
124,Saint-Philippe,RE,-21.3585,55.7679,75.2,78,90,11.5,overcast clouds
125,Greenville,US,35.6127,-77.3663,73.0,35,1,4.83,clear sky
126,Calvinia,ZA,-31.4707,19.776,73.8,28,63,3.18,broken clouds
127,Harper,LR,4.375,-7.7169,80.92,75,100,7.7,overcast clouds
128,Wyndham,US,37.6985,-77.6125,66.2,37,75,3.44,broken clouds
129,Port-Gentil,GA,-0.7193,8.7815,82.4,83,20,5.75,few clouds
130,Vallenar,CL,-28.5708,-70.7581,84.78,25,0,7.99,clear sky
131,Cidreira,BR,-30.1811,-50.2056,71.98,78,62,14.61,broken clouds
132,Ponta Do Sol,PT,32.6667,-17.1,66.2,72,20,9.22,few clouds
133,Santa Cruz,BO,-17.8,-63.1667,80.89,72,72,3.04,broken clouds
134,Upernavik,GL,72.7868,-56.1549,11.8,76,100,4.76,overcast clouds
135,Ahar,IR,38.4774,47.0699,60.6,45,100,1.68,overcast clouds
136,Jamestown,US,42.097,-79.2353,57.0,50,90,4.61,overcast clouds
137,Kununurra,AU,-15.7667,128.7333,71.6,53,95,6.91,overcast clouds
138,Tevaitoa,PF,-16.7833,-151.5,82.2,70,21,13.78,few clouds
139,Fort Wellington,GY,6.4,-57.6,82.92,62,100,12.75,overcast clouds
140,Miyako,JP,39.6367,141.9525,47.44,77,76,11.54,broken clouds
141,Axim,GH,4.8699,-2.2405,81.82,79,62,9.37,broken clouds
142,Yulara,AU,-25.2406,130.9889,53.6,54,0,5.75,clear sky
143,Tuatapere,NZ,-46.1333,167.6833,54.0,84,37,5.01,scattered clouds
