City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Cabo San Lucas,MX,84.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
426,Avanigadda,IN,82.26,few clouds,16.0215,80.9181,AP Camping
428,Buchanan,LR,84.2,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
434,Matay,EG,89.58,broken clouds,28.419,30.7792,Nag Aespen
438,Santa Rosa,PH,82.4,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
443,Mitsamiouli,KM,80.69,light rain,-11.3847,43.2844,Foyer ADM
448,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
449,Lazaro Cardenas,MX,82.06,clear sky,17.9583,-102.2,Hotel Quinta Antigua
451,Paracatu,BR,80.4,broken clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
452,Honiara,SB,77.5,overcast clouds,-9.4333,159.95,Heritage Park Hotel
455,Miri,MY,75.2,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
458,South Venice,US,87.01,clear sky,27.0531,-82.4243,Rodeway Inn
459,Kailua,US,75.2,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
462,Tautira,PF,82.4,few clouds,-17.7333,-149.15,Pension Oaoa
465,Naigarhi,IN,84.2,clear sky,24.7833,81.7833,Fulwari Mandir
473,Mogadishu,SO,83.53,broken clouds,2.0371,45.3438,Hotel Juba
476,Eyl,SO,82.24,scattered clouds,7.9803,49.8164,Amiin Hotel
477,Mattru,SL,82.67,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
494,Manggar,ID,80.6,overcast clouds,-2.8833,108.2667,Guest Hotel
499,Maceio,BR,78.8,broken clouds,-9.6658,-35.7353,Poutur Pousada
500,Jaclupan,PH,78.8,overcast clouds,10.3,123.8167,Tubod Flowing Water Resort
501,Hihya,EG,87.8,clear sky,30.6713,31.588,مضيفة المركز
508,Rong Kwang,TH,75.0,clear sky,18.339000000000002,100.3174,Rong Kwang Hotel
509,Siocon,PH,78.44,overcast clouds,7.7061,122.1353,ABS Hotel
523,Zorritos,PE,86.0,broken clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
524,Cabatuan,PH,77.86,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
525,Canutama,BR,78.35,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
529,Sao Gabriel Da Cachoeira,BR,86.0,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
530,Gizo,SB,82.63,light rain,-8.103,156.8419,Imagination Island
534,Praia,CV,75.2,few clouds,14.9215,-23.5087,LT Aparthotel
536,Mucurapo,TT,88.0,scattered clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
538,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
540,Mumford,GH,81.43,light rain,5.2618,-0.759,Spanish Villa
543,Bucerias,MX,78.8,clear sky,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
553,San Nicolas,PH,77.0,few clouds,18.1725,120.5953,NORTHVIEW Hotel
560,Bom Jesus,BR,83.37,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
561,Half Moon Bay,US,75.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
562,Autazes,BR,75.63,moderate rain,-3.5797,-59.1306,Apart hotel Tupinambá
